id;ano_contratacao;titulo;objetivo;grupo_tematico;subgrupo_tematico;tipo_pesquisa;programa;instituicao;sigla_instituicao;uf_instituicao;valor_projeto;status;ano_previsao
1;2021;Estudo de Efetividade da Vacina Covid-19 Recombinante/Fiocruz contra diferentes variantes do SARS-CoV-2 na região de Botucatu-SP;Avaliar a efetividade de uma (1) dose da vacina Covid-19 Recombinante/Fiocruz para proteger contra qualquer doença de Covid-19 confirmada por laboratório, causada por qualquer cepa e pela variante P1, a partir de 3 semanas após a dose 1, e após a vacinação completa (2 semanas após a dose 2);Prevenção;Vacinas e Imunização;Avaliação de Tecnologias em Saúde;Sem programa vinculado;Universidade Estadual Paulista Júlio de Mesquita Filho;UNESP;SP;10881828;Finalizado;2022
2;2021;Estudo de fase 4, randomizado, controlado, simples cego para avaliar a imunogenicidade e a segurança de uma terceira dose de reforço com vacinas Covid-19 em adultos.;Avaliar a imunogenicidade de uma dose de reforço de diferentes vacinas anti-Covid-19 em indivíduos previamente vacinados com o esquema de duas doses de Sinovac/Butantan. A comparação será realizada em grupos submetidos a um reforço heterólogo utilizando a vacina Covid-19 recombinante (AstraZeneca/Fiocruz), vacina Covid-19 RNAm (Pfizer/Wyeth) ou vacina Covid-19 recombinante (Janssen) e o grupo controle que receberá o reforço homólogo da vacina adsorvida Covid-19 inativada Sinovac/Butantan;Prevenção;Vacinas e Imunização;Pesquisa Clínica Intervencional (Fases I, II, III);Sem programa vinculado;Instituto D'Or de Pesquisa e Ensino;IDOR;SP;13396350;Finalizado;2022
3;2021;Avaliação dos parâmetros evolutivos da hemostasia na infecção por SARS-CoV-2 e estratégias de intervenção através de ensaio clínico adaptativo ;Avaliar o compartamento evolutivo da hemostasia na infecção por SARS-CoV-2 e avaliar o impacto de intervenções terapêuticas de anticoagulação e antiagregação plaquetária nos defechos clínicos de pacientes infectados;Tratamento;Manejo Clínico pacientes com COVID-19;Pesquisa Clínica Intervencional (Fases I, II, III);Sem programa vinculado;Fundação Faculdade de Medicina;FFM;SP;287509;Finalizado;2025
4;2022;Avaliação pré-clínica da segurança, imunogenicidade e eficácia da vacina MultiCoVax;Desenvolver uma vacina nasal contra o SARS-CoV-2 - MultiCoVax - contendo formulação inovadora composta por um antígeno quimérico, capaz de induzir respostas imunes humoral e celular, sistêmicas e de mucosa, oferecendo potencial de bloqueio da transmissão viral;Prevenção;Vacinas e Imunização;Pesquisa Pré-Clínica;Sem programa vinculado;Universidade de São Paulo;USP;SP;1680360,44;Em execução;2025
5;2022;Desenvolvimento de vacinas RNA autoreplicadas para prevenção de doenças infecciosas e a preparação para novas emergências sanitárias;Aperfeiçoar a plataforma RNA estabelecida pelo grupo de estudo utilizando como modelos duas doenças de grande importância para a saúde pública: Covid-19 e Varíola dos Macacos (Monkeypox);Prevenção;Vacinas e Imunização;Pesquisa Pré-Clínica;Sem programa vinculado;Fundação Oswaldo Cruz;FIOCRUZ;RJ;849000;Em execução;2025
6;2022;Uso de um novo agente para delivery de vacinas de mRNA e DNA;Desenvolvimento pré-clínico de uma ferramenta de entrega intracelular de vacinas de mRNA e DNA, baseada em um complexo da proteína C de DENV ou peptídeos derivados desta, e DOTAP, utilizando DNA e mRNA de luciferase (gene repórter) e da proteína S de SARS-CoV-2 (gene de interesse), e comprovar sua eficácia em modelos de comundongo transgênico suscetíveis ao SARS-CoV-2 (k18-hACE);Prevenção;Vacinas e Imunização;Pesquisa Pré-Clínica;Sem programa vinculado;Universidade Federal do Rio de Janeiro;UFRJ;RJ;1261320;Em execução;2025
7;2022;Desenvolvimento de vacina contra Covid-19 baseada em BCG recombinante com reforço heterólogo de vacina de DNA, ambos expressando antígenos de SARS-CoV-2;Desenvolvimento de uma vacina contra Covid-19 que induza uma imunidade mais duradoura, abrangendo as diversas variantes e envolvendo baixos custos de produção;Prevenção;Vacinas e Imunização;Pesquisa Pré-Clínica;Sem programa vinculado;Instituto Butantan;IBU;SP;1475140;Em execução;2025
8;2022;Desenvolvimento de plataforma vacinal baseada em vetores plasmidiais para doenças respiratórias: aplicação para infecções endêmicas/pandêmicas das vias aéreas;Desenvolver plataforma vacinal baseada em vatores plasmidiais de expressão para indução de resposta celular, humoral e proteção contra infecções com SARS-CoV-2 e influenza;Prevenção;Vacinas e Imunização;Pesquisa Pré-Clínica;Sem programa vinculado;Fundação Oswaldo Cruz;FIOCRUZ;MG;1554400;Em execução;2025
9;2022;Desenvolvimento e avaliação de adjuvantes nano particulados miméticos a patógenos e carreadores de mRNA como potenciais sistemas de vacinação;Caracterizar e validar as nanopartículas de albumina sérica bovina miméticas a patógenos e carreadoras de mRNA como sistemas vacinais que possam ser utilizados na prevenção de doenças infectocontagiosas;Prevenção;Vacinas e Imunização;Pesquisa Pré-Clínica;Sem programa vinculado;Universidade Federal de Alfenas;UNIFAL;MG;215480;Em execução;2026
10;2024;Ensaio Clínico para validação de usabilidade de dispositivo de acesso à via aérea com inserção da visão computacional em emergências de saúde pública;Ensaio Clínico de videolaringoscópio com recursos de inteligência artificial e visão computacional no acesso à via aérea em situações de moderada a grave disfunção respiratória por doenças epidêmicas;Tratamento;Manejo Clínico pacientes com COVID-19;Avaliação de Tecnologias em Saúde;Sem programa vinculado;Hospital Escola da Universidade Federal de Pelotas;HE-UFPEL;RS;1796160;Em execução;2027
11;2024;Estratégias neuroprotetoras de amplo acesso para emergências de saúde pública virais: Uma abordagem pré-clínica focada em mecanismos inflamatórios e reposicionamento de fármacos;Caracterizar a resposta neuroinflamatória e metabólica em modelos pré-clínicos expostos a partículas (ou proteínas) virais de SARS-CoV-2, MPXV e de arbovírus (ZIKV, DENV e OROV) e a soros de pacientes infectados, bem como investigar potenciais estratégias neuroprotetoras como metformina e nifedipina (fármacos já distribuídos pelo SUS) e com outros compostos bioativos como resveratrol e sulforafano, em formulações nanotecnológicas;Tratamento;Medicamentos;Pesquisa Pré-Clínica;Sem programa vinculado;Universidade Federal do Rio Grande do Sul;UFRGS;RS;142000;Em execução;2027
12;2021;Monitoramento Genômico Do Sars-Cov-2 E Das Vocs (Variants Of Concern) Face Às Condições Epidemiológicas Emergentes No Brasil Através Da Rede Genômica Fiocruz.;Caracterizar, por meio do sequenciamento do genoma viral, as linhagens dos vírus circulantes em diferentes estados e sua prevalência ao longo do tempo, de relacionar ao número de casos notificados de doença respiratória aguda grave (SARI) e de descrever características e desfechos clínicos associados. Além disso, serão avaliadas se as novas VOCs detectadas são capazes de escape imunológico e maior potencial de transmissão em ensaios in silico e in vitro. Por último, o banco genômico gerado será utilizado para avaliar em tempo real o impacto das novas variantes nos kits de diagnóstico para o vírus. Análises preliminares dos achados serão realizadas e divulgadas por meio de relatórios oficiais para o MS e LACENs e no site da Rede Genômica Fiocruz (http://www.genomahcov.fiocruz.br/).;Fortalecimento do SUS e Vigilância em Saúde;Vigilância Genômica;Pesquisa Observacional;GENOMAS Brasil;Fundação Oswaldo Cruz;FIOCRUZ;RJ;37000000;Finalizado;2024
13;2023;Desenho racional e produção de proteínas multiepítopo de SARS-CoV-2: uma abordagem para a produção de imunoterápicos.;Desenvolver uma estratégia terapêutica para a Covid-19 usando a hipótese de uma abordagem computacional para identificar os epítopos mais imunogênicos das proteínas do SARS-CoV-2 e com isso construir uma proteína multiepítopo capaz de elicitar uma forte resposta humoral. A qualidade e estabilidade da proteína teórica será avaliada in sílico antes da expressão da mesma em sistemas eucariotos. Nosso objetivo, além da produção de uma nova molécula, é utilizar o antígeno recombinante para elicitar uma resposta imune em camundongos BALB/c e avaliar a resposta dos anticorpos heterólogos neutralizantes quanto ao seu potencial em neutralizar a infecção de SARS-CoV-2 em curso.;Tratamento;Medicamentos;Pesquisa Pré-Clínica;GENOMAS Brasil;Universidade Federal do Rio de Janeiro;UFRJ;RJ;393320;Em execução;2026
14;2020;Estudo Multicêntrico De Fase I / Iia Sobre O Uso De Células Estromais Mesenquimais No Tratamento De Pacientes Com Pneumonia Por Sars-Cov-2;Recentemente, as células-tronco mesenquimais (CTMs) foram introduzidas, ainda de forma experimental, como uma das terapêuticas para uso no tratamento da Covid-19. Estas células têm potencial imunomodulador, efeitos antimicrobianos, capacidade de reparo tecidual, além de serem imunoprivilegiadas e também não serem infectadas pelo SARS-CoV-2. O tecido do cordão umbilical (TCU) é uma fonte de CTMs muito atrativa para a terapia celular devido à grande capacidade proliferativa destas células, e, nesta pesquisa foi a escolha dos pesquisadores. Serão utilizadas células de cordões umbilicais existentes num biobanco específico de pesquisa no tratamento que será avaliado neste estudo. Análises recentes, utilizando CTMS-TCU para tratamento da Covid-19, mostram que o procedimento é seguro e levou a uma diminuição de citocinas inflamatórias, aumento de células reguladoras e reparo pulmonar. Assim, este estudo clínico multicêntrico avaliará a viabilidade, a segurança e a eficácia clínica da infusão intravenosa de células-tronco mesenquimais alogênicas de cordão umbilical para o tratamento da pneumonia causada pela infecção do SARS-CoV-2.;Tratamento;Medicamentos;Pesquisa Clínica Intervencional (Fases I, II, III);GENOMAS Brasil;Pontifícia Universidade Católica do Paraná;PUC-PR;PR;2458155;Finalizado;2024
15;2020;Coalizão multiômicas para o estudo da pandemia de Covid-19 na população brasileira: eixo transcritoma e imunofenotipagem.;Caracterização de perfis genômicos, moleculares e celulares em indivíduos nonagenários e centenários recuperados da infecção pelo novo coronavírus SARS-CoV-2 (Covid-19) em comparação com controles que desenvolveram formas graves de Covid-19 e em pares de gêmeos.;Prevenção;Outros estudos de prevenção;Pesquisa Pré-Clínica;GENOMAS Brasil;Universidade de São Paulo;USP;SP;5150726,36;Em execução;2025
16;2020;Coalizão multiômicas para o estudo da pandemia de Covid-19 na população brasileira: eixo genômica viral.;Estudar indivíduos de populações nativo-americanas brasileiras (Tupiniquim e Guarani-Mbyá) para compreender as relações entre variabilidade genética autóctone, condições clínicas preexistentes e susceptibilidade à Covid-19, através do sequenciamento de genomas completos e análise de variantes genéticas relacionadas aos desfechos clínicos da doença. A pesquisa busca também realizar vigilância genômica do SARS-CoV-2, investigando como a ancestralidade nativa (presente em 7-22% da população brasileira) influencia na resposta ao vírus, considerando diferentes graus de miscigenação e exposição urbana dessas populações historicamente vulneráveis.;Fortalecimento do SUS e Vigilância em Saúde;Vigilância Genômica;Pesquisa Pré-Clínica;GENOMAS Brasil;Laboratório Nacional de Computação Científica;LNCC;RJ;1302733,13;Finalizado;2023
